Value.number,Value.name,Value.CardFrame,Value.CardType,Value.Level,Value.Scale,Value.Attack,Value.Defense,Value.Attribute
8763963,Beelzeus of the Diabolic Dragons,synchro,Dragon,10,,4000,4000,DARK
30587695,Beetron,effect,Insect,4,,1600,900,DARK
2834264,Beetrooper Armor Horn,link,Insect,2,,1000,,EARTH
51578214,Beetrooper Assault Roller,effect,Insect,4,,1600,1400,EARTH
91300233,Beetrooper Cruel Saturnas,fusion,Insect,5,,2400,2000,DARK
87240371,Beetrooper Descent,spell,Normal,,,,,
1712616,Beetrooper Fly & Sting,trap,Counter,,,,,
64213017,Beetrooper Formation,spell,Field,,,,,
13234975,Beetrooper Landing,spell,Normal,,,,,
88962829,Beetrooper Light Flapper,effect,Insect,6,,2000,2200,WATER
39041550,Beetrooper Scale Bomber,effect,Insect,3,,1200,2000,FIRE
2656842,Beetrooper Scout Buggy,effect,Insect,3,,1000,300,WIND
40633084,Beetrooper Squad,trap,Normal,,,,,
65430555,Beetrooper Sting Lancer,effect,Insect,7,,2400,1800,WIND
6628343,Beginning Knight,effect,Warrior,4,,500,2000,LIGHT
32360466,Beginning of Heaven and Earth,trap,Normal,,,,,
20374520,"Begone, Knave!",trap,Continuous,,,,,
94022093,Behegon,normal,Aqua,4,,1350,1000,WATER
13836592,Behemoth the King of a Hundred Battles,effect,Beast,10,,2700,1500,EARTH
22996376,Behemoth the King of All Animals,effect,Beast,7,,2700,1500,EARTH
300302043,"Behold, Gate Guardian!",skill,Paradox Broth,,,,,
33731070,"Beiige, Vanguard of Dark World",effect,Fiend,4,,1600,1300,DARK
33655493,Belial - Marquis of Darkness,effect,Fiend,8,,2800,2400,DARK
300302044,Believe in your Bro,skill,,,,,,
22953211,Bellcat Fighter,link,Machine,3,,2000,,WIND
94662235,Bending Destiny,trap,Counter,,,,,
73345237,Benghalancer the Resurgent,link,Plant,4,,2500,,LIGHT
77207191,Berfomet,effect,Fiend,5,,1400,1800,DARK
69601012,Berfomet the Mythical King of Phantom Beasts,fusion,Fiend,6,,2400,600,WIND
59808784,Berlineth the Firestorm Vassal,effect,Pyro,3,,800,1000,FIRE
20747792,Berry Magician Girl,effect,Spellcaster,1,,400,400,EARTH
13744068,Berserk Archfiend,effect,Fiend,6,,2000,0,DARK
85605684,Berserk Dragon,effect,Zombie,8,,3500,0,DARK
39168895,Berserk Gorilla,effect,Beast,4,,2000,1000,EARTH
52497105,Berserk Scales,spell,Quick-Play,,,,,
15471265,Berserker Crush,spell,Quick-Play,,,,,
5402805,Berserker of the Tenyi,link,Wyrm,3,,3000,,DARK
15381252,Berserker Soul,spell,Quick-Play,,,,,
56535497,Berserking,trap,Continuous,,,,,
42901635,Berserkion the Electromagna Warrior,effect,Rock,8,,3000,2800,EARTH
23969415,Beta Evolution Pill - Ultranscendance,spell,Normal,,,,,
79418928,Beta The Electromagnet Warrior,effect,Rock,3,,1500,1500,EARTH
39256679,Beta The Magnet Warrior,normal,Rock,4,,1700,1600,EARTH
300302045,Beware the Brothers Paradox!,skill,Paradox Broth,,,,,
35778533,Beware the White Woods,spell,Normal,,,,,
22125101,Beyond the Pendulum,link,Spellcaster,2,,1200,,DARK
66500065,"Bi'an, Earth of the Yang Zing",effect,Wyrm,3,,1600,0,EARTH
25655502,Bickuribox,fusion,Fiend,7,,2300,2000,DARK
58685438,Bicorn Re'em,effect,Beast,4,,800,1600,DARK
83392426,Bicular,effect,Machine,2,,200,200,EARTH
61127349,Big Bang Shot,spell,Equip,,,,,
32696942,Big Belly Knight,effect,Warrior,4,,1000,1600,EARTH
95472621,Big Burn,trap,Normal,,,,,
84808313,Big Evolution Pill,spell,Normal,,,,,
16768387,Big Eye,effect,Fiend,4,,1200,1000,DARK
91337277,Big Inflate Dragon,effect,Dragon,8,,2500,1500,WIND
53606874,Big Insect,normal,Insect,4,,1200,1500,EARTH
51254277,Big Jaws,effect,Fish,3,,1800,300,WATER
42129512,Big Koala,normal,Beast,7,,2700,2000,EARTH
89235196,Big One Warrior,effect,Warrior,1,,100,600,LIGHT
25247218,Big Piece Golem,effect,Rock,5,,2100,0,EARTH
65240384,Big Shield Gardna,effect,Warrior,4,,100,2600,EARTH
51562916,Big Wave Small Wave,spell,Normal,,,,,
92714517,Big Welcome Labrynth,trap,Normal,,,,,
18322364,Big Whale,effect,Fish,9,,1000,3000,WATER
84677654,BIG Win!?,trap,Normal,,,,,
59380081,Big-Tusked Mammoth,effect,Beast,5,,2000,1000,EARTH
55461744,Big-Winged Berfomet,effect,Fiend,5,,1400,1800,DARK
80088625,Binary Blader,link,Cyberse,2,,1800,,EARTH
79016563,Binary Sorceress,link,Cyberse,2,,1600,,EARTH
8058240,Binding Chain,normal,Fairy,3,,1000,1100,LIGHT
93437091,"Bingo Machine, Go!!!",spell,Normal,,,,,
7670542,Bio Plant,normal,Fiend,3,,600,1300,DARK
3084730,Bio-Insect Armor,effect,Insect,5,,1500,2000,EARTH
58696829,Bio-Mage,normal,Fairy,3,,1150,1000,LIGHT
74130411,Biofalcon,effect,Machine,4,,1700,1200,LIGHT
84845628,Bird of Paradise Lost,effect,Wyrm,8,,2700,1500,DARK
75252099,Bird of Roses,effect,Plant,4,,1800,1500,WIND
45547649,Birdface,effect,Winged Beast,4,,1600,1600,WIND
5439384,Birth of the Prominence Flame,spell,Normal,,,,,
35539880,Birthright,trap,Continuous,,,,,
92142169,Bite Bug,effect,Insect,3,,300,1000,EARTH
50122883,Bite Shoes,effect,Fiend,2,,500,300,DARK
44702857,Bitelon,effect,Reptile,6,,2400,1000,WATER
36211150,Bitron,normal,Cyberse,2,,200,2000,EARTH
36694815,Bitrooper,effect,Cyberse,4,,1500,2000,EARTH
2095764,"Bixi, Water of the Yang Zing",effect,Wyrm,2,,0,2000,WATER
31677606,Black and White Wave,spell,Quick-Play,,,,,
50896944,Black Brachios,effect,Dinosaur,4,,1800,1100,EARTH
96029574,Black Brutdrago,synchro,Dragon,8,,3000,2600,FIRE
67381587,Black Cat-astrophe,trap,Normal,,,,,
61901281,Black Dragon Collapserpent,effect,Dragon,4,,1800,1700,DARK
56562619,Black Dragon Ninja,effect,Beast,7,,2800,1600,DARK
36262024,Black Dragon's Chick,effect,Dragon,1,,800,500,DARK
75672051,Black Fang Magician,effect_pendulum,Spellcaster,4,8,1700,800,DARK
40279770,Black Feather Beacon,trap,Normal,,,,,
7602800,Black Feather Whirlwind,spell,Continuous,,,,,
71645242,Black Garden,spell,Field,,,,,
50323155,Black Horn of Heaven,trap,Counter,,,,,
32754886,Black Illusion,trap,Normal,,,,,
41426869,Black Illusion Ritual,spell,Ritual,,,,,
55761792,Black Luster Ritual,spell,Ritual,,,,,
5405694,Black Luster Soldier,ritual,Warrior,8,,3000,2500,EARTH
72989439,Black Luster Soldier - Envoy of the Beginning,effect,Warrior,8,,3000,2500,LIGHT
77498348,Black Luster Soldier - Envoy of the Evening Twilight,effect,Warrior,8,,3000,2500,DARK
70551291,Black Luster Soldier - Legendary Swordsman,ritual,Warrior,8,,3000,2500,EARTH
92510265,Black Luster Soldier - Sacred Soldier,effect,Warrior,8,,3000,2500,LIGHT
49202162,Black Luster Soldier - Soldier of Chaos,link,Warrior,3,,3000,,EARTH
54484652,Black Luster Soldier - Super Soldier,ritual,Warrior,8,,3000,2500,EARTH
76792184,Black Magic Ritual,spell,Ritual,,,,,
86469231,Black Mamba,effect,Reptile,3,,1300,1000,DARK
93969023,Black Metal Dragon,effect,Dragon,1,,600,600,DARK
65169794,Black Pendant,spell,Equip,,,,,
76218643,Black Potan,effect,Fiend,1,,200,100,DARK
90654356,Black Ptera,effect,Dinosaur,3,,1000,500,WIND
74416224,Black Ray Lancer,xyz,Beast-Warrior,3,,2100,600,DARK
72278479,Black Return,trap,Normal,,,,,
73580471,Black Rose Dragon,synchro,Dragon,7,,2400,1800,FIRE
33698022,Black Rose Moonlight Dragon,synchro,Dragon,7,,2400,1800,LIGHT
88671720,Black Salvo,effect,Machine,3,,100,1100,DARK
96367119,Black Shadow Squall,trap,Counter,,,,,
67284108,Black Sheep Token,token,Zombie,1,,0,0,DARK
11901678,Black Skull Dragon,fusion,Dragon,9,,3200,2500,DARK
72930878,Black Sonic,trap,Normal,,,,,
79409334,Black Stego,effect,Dinosaur,4,,1200,2000,EARTH
52833089,Black Thunder,trap,Normal,,,,,
38670435,Black Tyranno,effect,Dinosaur,7,,2600,1800,EARTH
52319752,Black Veloci,effect,Dinosaur,4,,1800,300,EARTH
91351370,Black Whirlwind,spell,Continuous,,,,,
9925982,Black Wing Revenge,trap,Normal,,,,,
73218989,Black-Winged Assault Dragon,synchro,Dragon,10,,3200,2800,DARK
9012916,Black-Winged Dragon,synchro,Dragon,8,,2800,1600,DARK
67779172,Black-Winged Strafe,spell,Normal,,,,,
44028461,Blackback,trap,Normal,,,,,
67647362,"Blackbeard, the Plunder Patroll Captain",link,Fiend,2,,1600,,WATER
80254726,Blackbird Close,trap,Counter,,,,,
53519297,Blackboost,trap,Normal,,,,,
91642007,"Blackeyes, the Plunder Patroll Seaguide",effect,Fiend,4,,1000,1000,WATER
60992105,Blackfeather Darkrage Dragon,synchro,Dragon,8,,2800,1600,DARK
87564352,Blackland Fire Dragon,normal,Dragon,4,,1500,800,DARK
31053337,Blackwing - Abrolhos the Megaquake,effect,Winged Beast,7,,2600,1800,DARK
4068622,Blackwing - Aurora the Northern Lights,effect,Winged Beast,10,,0,0,LIGHT
17465972,Blackwing - Auster the South Wind,effect,Winged Beast,4,,1300,0,DARK
89040386,Blackwing - Backlash,trap,Normal,,,,,
9925983,Blackwing - Black Crest Token,token,Winged Beast,2,,0,800,DARK
22835145,Blackwing - Blizzard the Far North,effect,Winged Beast,2,,1300,0,DARK
25435080,Blackwing - Bombardment,trap,Normal,,,,,
43906884,Blackwing - Boobytrap,trap,Normal,,,,,
49003716,Blackwing - Bora the Spear,effect,Winged Beast,4,,1700,800,DARK
16516630,Blackwing - Boreas the Sharp,effect,Winged Beast,5,,1300,900,DARK
10602628,Blackwing - Boreastorm the Wicked Wind,synchro,Winged Beast,6,,2400,1600,DARK
89258906,Blackwing - Breeze the Zephyr,effect,Winged Beast,3,,1100,300,DARK
52900379,Blackwing - Brisote the Tailwind,effect,Winged Beast,5,,1200,1800,DARK
88305978,Blackwing - Calima the Haze,effect,Winged Beast,4,,600,1800,DARK
34976176,Blackwing - Chinook the Snow Blast,effect,Winged Beast,2,,100,700,DARK
58131925,Blackwing - Damascus the Polar Night,effect,Winged Beast,3,,1300,700,DARK
19462747,Blackwing - Decay the Ill Wind,effect,Winged Beast,4,,1000,1000,DARK
11613567,Blackwing - Elphin the Raven,effect,Winged Beast,6,,2200,1200,DARK
78564023,Blackwing - Etesian of Two Swords,effect,Winged Beast,3,,400,1600,DARK
9109991,Blackwing - Fane the Steel Chain,effect,Winged Beast,2,,500,800,DARK
2009101,Blackwing - Gale the Whirlwind,effect,Winged Beast,3,,1300,400,DARK
26775203,Blackwing - Ghibli the Searing Wind,effect,Winged Beast,3,,0,1600,DARK
28190303,Blackwing - Gladius the Midnight Sun,effect,Winged Beast,3,,800,1500,DARK
9929398,Blackwing - Gofu the Vague Shadow,effect,Winged Beast,5,,0,0,DARK
17377751,Blackwing - Gram the Shining Star,synchro,Winged Beast,5,,2200,1500,DARK
52869807,Blackwing - Gust the Backblast,effect,Winged Beast,2,,900,1400,DARK
77152542,Blackwing - Harmattan the Dust,effect,Winged Beast,2,,800,800,DARK
3072808,Blackwing - Hillen the Tengu-wind,effect,Winged Beast,5,,0,2300,DARK
36442179,Blackwing - Hurricane the Tornado,effect,Winged Beast,1,,0,0,DARK
87390067,Blackwing - Jetstream the Blue Sky,effect,Winged Beast,1,,100,800,DARK
38562933,Blackwing - Jin the Rain Shadow,effect,Winged Beast,1,,600,500,DARK
85215458,Blackwing - Kalut the Moon Shadow,effect,Winged Beast,3,,1400,1000,DARK
41902352,Blackwing - Kochi the Daybreak,effect,Winged Beast,4,,700,1500,DARK
49460512,Blackwing - Kogarashi the Wanderer,effect,Winged Beast,6,,2300,1600,DARK
81105204,Blackwing - Kris the Crack of Dawn,effect,Winged Beast,4,,1900,300,DARK
46710683,Blackwing - Mistral the Silver Shield,effect,Winged Beast,2,,100,1800,DARK
95040215,Blackwing - Nothung the Starlight,synchro,Winged Beast,6,,2400,1600,DARK
73652465,Blackwing - Oroshi the Squall,effect,Winged Beast,1,,400,600,DARK
55610595,Blackwing - Pinaki the Waxing Moon,effect,Winged Beast,3,,1200,1000,DARK
8571567,Blackwing - Shamal the Sandstorm,effect,Winged Beast,4,,1600,0,DARK
54594017,Blackwing - Sharnga the Waning Moon,effect,Winged Beast,2,,500,500,DARK
58820853,Blackwing - Shura the Blue Flame,effect,Winged Beast,4,,1800,1200,DARK
33236860,Blackwing - Silverwind the Ascendant,synchro,Winged Beast,8,,2800,2000,DARK
81470373,Blackwing - Simoon the Poison Wind,effect,Winged Beast,6,,1600,2000,DARK
75498415,Blackwing - Sirocco the Dawn,effect,Winged Beast,5,,2000,900,DARK
9047460,Blackwing - Steam the Cloak,effect,Winged Beast,3,,800,1200,DARK
70465810,Blackwing - Sudri the Phantom Glimmer,effect,Winged Beast,4,,1400,1400,DARK
73534250,Blackwing - Tornado the Reverse Wind,effect,Winged Beast,4,,1000,1200,DARK
69973414,Blackwing - Twin Shadow,trap,Normal,,,,,
71187462,Blackwing - Vata the Emblem of Wandering,effect,Winged Beast,2,,800,0,DARK
72714392,Blackwing - Vayu the Emblem of Honor,effect,Winged Beast,1,,800,0,DARK
14785765,Blackwing - Zephyros the Elite,effect,Winged Beast,4,,1600,1000,DARK
7459919,Blackwing - Zonda the Dusk,effect,Winged Beast,6,,2300,900,DARK
76913983,Blackwing Armed Wing,synchro,Winged Beast,6,,2300,1000,DARK
69031175,Blackwing Armor Master,synchro,Winged Beast,7,,2500,1500,DARK
54082269,Blackwing Full Armor Master,synchro,Winged Beast,10,,3000,3000,DARK
81983656,Blackwing Tamer - Obsidian Hawk Joe,synchro,Warrior,7,,2600,2000,DARK
82944432,Blade Armor Ninja,xyz,Warrior,4,,2200,1000,WIND
70194827,Blade Bounzer,effect,Warrior,4,,1800,1400,EARTH
78509901,Blade Garoodia the Cubic Beast,effect,Beast,3,,0,0,FIRE
39507162,Blade Knight,effect,Warrior,4,,1600,1000,LIGHT
58268433,Blade Rabbit,effect,Beast,2,,400,300,EARTH
97023549,Blade Skater,normal,Warrior,4,,1400,1500,EARTH
28470714,Bladefly,effect,Insect,2,,600,700,WIND
11685347,Blast Asmodian,effect,Fiend,3,,1000,300,FIRE
89041555,Blast Held by a Tribute,trap,Normal,,,,,
51208877,Blast Held by Destiny,trap,Normal,,,,,
70138455,Blast Juggler,effect,Machine,3,,800,900,FIRE
21051146,Blast Magician,effect,Spellcaster,4,,1400,1700,FIRE
26302522,Blast Sphere,effect,Machine,4,,1400,1400,DARK
98239899,Blast with Chain,trap,Normal,,,,,
53804307,"Blaster, Dragon Ruler of Infernos",effect,Dragon,7,,2800,1800,FIRE
99788587,Blasting Fuse,trap,Normal,,,,,
21466326,Blasting the Ruins,trap,Normal,,,,,
69537999,Blaze Accelerator,spell,Continuous,,,,,
300302024,Blaze Accelerator Deployment (Skill Card),skill,Axel Brodie,,,,,
52198054,Blaze Accelerator Reload,trap,Continuous,,,,,
4059313,Blaze Cannon,spell,Quick-Play,,,,,
6602300,"Blaze Fenix, the Burning Bombardment Bird",fusion,Pyro,8,,2800,2300,FIRE
47132793,"Blaze, Supreme Ruler of Dragons",xyz,Dragon,7,,2800,1800,FIRE
16984449,Blazewing Butterfly,effect,Insect,4,,1500,1500,FIRE
95515789,"Blazing Cartesia, the Virtuous",effect,Spellcaster,4,,1500,1500,LIGHT
92518817,Blazing Hiita,effect,Spellcaster,4,,800,1500,FIRE
5464695,Blazing Inpachi,normal,Pyro,4,,1850,0,FIRE
75249652,Blazing Mirror Force,trap,Normal,,,,,
15177750,Blessed Winds,trap,Continuous,,,,,
39114494,Blessing of the Voiceless Voice,spell,Continuous,,,,,
82422049,Blessings for Gusto,trap,Normal,,,,,
30653113,Blessings of the Nile,spell,Continuous,,,,,
32015116,Blind Destruction,trap,Continuous,,,,,
22802010,Blind Obliteration,trap,Normal,,,,,
49267971,Blind Spot Strike,spell,Quick-Play,,,,,
35215622,Blindly Loyal Goblin,effect,Warrior,4,,1800,1500,EARTH
28279365,Blink Out,spell,Quick-Play,,,,,
51706604,Blizzard,spell,Quick-Play,,,,,
61802346,Blizzard Dragon,effect,Dragon,4,,1800,1000,WATER
43694481,Blizzard Falcon,effect,Winged Beast,4,,1500,1500,WATER
28348537,Blizzard Princess,effect,Spellcaster,8,,2800,2100,WATER
50920465,Blizzard Thunderbird,effect,Winged Beast,4,,1600,1400,WATER
96565487,Blizzard Warrior,effect,Warrior,3,,1400,400,WATER
60161788,"Blizzed, Defender of the Ice Barrier",effect,Aqua,1,,300,500,WATER
25880422,Block Attack,spell,Normal,,,,,
94689206,Block Dragon,effect,Rock,8,,2500,3000,EARTH
72580321,Block Golem,effect,Rock,3,,1000,1500,EARTH
79636594,Block Spider,effect,Insect,1,,0,100,EARTH
48115278,Block Token,token,Rock,4,,1000,1500,EARTH
34743446,Blocker,normal,Machine,4,,850,1800,DARK
48115277,Blockman,effect,Rock,4,,1000,1500,EARTH
53167658,Blockout Curtain,spell,Continuous,,,,,
30757396,Blood Mefist,synchro,Fiend,8,,2800,1300,DARK
97783659,Blood Sucker,effect,Zombie,4,,1300,1500,DARK
84988419,Bloom Diva the Melodious Choir,fusion,Fairy,6,,1000,2000,LIGHT
34974462,Bloom Harmonist the Melodious Composer,link,Fairy,2,,1000,,LIGHT
24672164,Bloom Prima the Melodious Choir,fusion,Fairy,7,,1900,2000,LIGHT
99092624,Blooming of the Darkest Rose,trap,Normal,,,,,
13438207,Blossom Bombardment,trap,Normal,,,,,
25551951,Blowback Dragon,effect,Machine,6,,2300,1200,DARK
14568951,Blue Dragon Ninja,effect,Sea Serpent,5,,2100,1200,WATER
55969226,Blue Dragon Summoner,effect,Spellcaster,4,,1500,600,WIND
40217358,Blue Duston,effect,Fiend,1,,0,1000,WATER
50903514,Blue Flame Swordsman,effect,Warrior,4,,1800,1600,FIRE
20871001,Blue Medicine,spell,Normal,,,,,
54582424,Blue Mountain Butterspy,effect,Warrior,4,,0,1700,DARK
98884569,Blue Rose Dragon,effect,Dragon,4,,1600,1200,DARK
14089428,Blue Thunder T-45,effect,Machine,4,,1700,1000,LIGHT
7953868,Blue-Blooded Oni,effect,Zombie,4,,1000,1700,DARK
35282433,Blue-Eyed Silver Zombie,normal,Zombie,3,,900,700,DARK
64202399,Blue-Eyes Abyss Dragon,effect,Dragon,8,,2500,2500,LIGHT
43228023,Blue-Eyes Alternative Ultimate Dragon,fusion,Dragon,12,,4500,3800,LIGHT
38517737,Blue-Eyes Alternative White Dragon,effect,Dragon,8,,3000,2500,LIGHT
20654247,Blue-Eyes Chaos Dragon,ritual,Dragon,8,,3000,0,DARK
55410871,Blue-Eyes Chaos MAX Dragon,ritual,Dragon,8,,4000,0,DARK
30576089,Blue-Eyes Jet Dragon,effect,Dragon,8,,3000,0,LIGHT
53347303,Blue-Eyes Shining Dragon,effect,Dragon,10,,3000,2500,LIGHT
57043986,Blue-Eyes Solid Dragon,effect,Dragon,8,,2500,2000,LIGHT
59822133,Blue-Eyes Spirit Dragon,synchro,Dragon,9,,2500,3000,LIGHT
53183600,Blue-Eyes Toon Dragon,effect,Dragon,8,,3000,2500,LIGHT
2129638,Blue-Eyes Twin Burst Dragon,fusion,Dragon,10,,3000,2500,LIGHT
11443677,Blue-Eyes Tyrant Dragon,fusion,Dragon,8,,3400,2900,LIGHT
23995346,Blue-Eyes Ultimate Dragon,fusion,Dragon,12,,4500,3800,LIGHT
89631139,Blue-Eyes White Dragon,normal,Dragon,8,,3000,2500,LIGHT
41396436,Blue-Winged Crown,normal,Winged Beast,4,,1600,1200,WIND
55349375,"Bluebeard, the Plunder Patroll Shipwright",effect,Fiend,4,,500,1000,WATER
22346472,Blustering Winds,spell,Normal,,,,,
40634253,BM-4 Blast Spider,effect,Machine,4,,1400,2200,DARK
21340051,Boar Soldier,effect,Beast-Warrior,4,,2000,500,EARTH
8715625,Bokoichi the Freightening Car,normal,Machine,2,,500,500,DARK
12146024,Bolt Escargot,normal,Thunder,5,,1400,1500,WATER
48531733,Bolt Penguin,normal,Thunder,3,,1100,800,WATER
57409948,Bombardment Beetle,effect,Insect,2,,400,900,WIND
70117791,Bombing Beast Fire Bomber,fusion,Machine,6,,1900,2400,FIRE
60709218,Bond Between Teacher and Student,spell,Normal,,,,,
79402185,Bonding - D2O,spell,Normal,,,,,
6890729,Bonding - DHO,trap,Normal,,,,,
45898858,Bonding - H2O,spell,Normal,,,,,
25784595,Bone Archfiend,effect,Fiend,4,,1800,0,DARK
37675138,Bone Crusher,effect,Zombie,4,,1600,200,EARTH
21239280,Bone Mouse,normal,Zombie,1,,400,300,DARK
47778083,Bone Temple Block,trap,Normal,,,,,
98456117,Boneheimer,normal,Aqua,3,,850,400,WATER
85106525,Bonfire,spell,Normal,,,,,
59834564,Bonfire Colossus,effect,Beast-Warrior,8,,2600,2200,FIRE
263926,Bonze Alone,effect,Fairy,1,,100,100,EARTH
68963107,Boo Koo,normal,Spellcaster,2,,650,500,DARK
27923575,Boo-Boo Game,trap,Normal,,,,,
24425055,Booby Trap E,trap,Normal,,,,,
96704974,Boogie Trap,spell,Normal,,,,,
35480699,Book of Eclipse,spell,Quick-Play,,,,,
2204140,Book of Life,spell,Normal,,,,,
31834488,Book of Lunar Eclipse,spell,Quick-Play,,,,,
14087893,Book of Moon,spell,Quick-Play,,,,,
91595718,Book of Secret Arts,spell,Equip,,,,,
38699854,Book of Taiyou,spell,Normal,,,,,
14839621,Boompoline!!,trap,Continuous,,,,,
12986778,Boon of the Meklord Emperor,spell,Normal,,,,,
80457744,Boost Warrior,effect,Warrior,1,,300,200,FIRE
12023931,Booster Dragon,link,Dragon,2,,1900,,DARK
36668118,Boot Sector Launch,spell,Field,,,,,
70950698,Boot Staggered,effect,Cyberse,5,,2300,500,LIGHT
36322312,Boot-Up Admiral - Destroyer Dynamo,effect,Machine,8,,2500,2500,EARTH
938717,Boot-Up Corporal - Command Dynamo,effect,Machine,4,,0,2000,EARTH
63717421,Boot-Up Order - Gear Charge,spell,Continuous,,,,,
9715126,Boot-Up Order - Gear Force,trap,Normal,,,,,
13316346,Boot-Up Soldier - Dread Dynamo,effect,Machine,4,,0,2000,EARTH
96699830,Born from Draconis,trap,Normal,,,,,
62753201,Borrel Cooling,trap,Normal,,,,,
6556178,Borrel Regenerator,spell,Equip,,,,,
30131474,Borrel Supplier,spell,Continuous,,,,,
67288539,Borrelcode Dragon,link,Dragon,3,,2500,,DARK
98630720,Borrelend Dragon,link,Dragon,5,,3500,,DARK
68987122,Borrelguard Dragon,link,Dragon,4,,3000,,DARK
31833038,Borreload Dragon,link,Dragon,4,,3000,,DARK
6247535,Borreload eXcharge Dragon,xyz,Dragon,4,,3000,2500,DARK
92892239,Borreload Furious Dragon,fusion,Dragon,8,,3000,2500,DARK
7987191,Borreload Riot Dragon,ritual,Dragon,8,,3000,2500,DARK
27548199,Borreload Savage Dragon,synchro,Dragon,8,,3000,2500,DARK
85289965,Borrelsword Dragon,link,Dragon,4,,3000,,DARK
66947414,Boss Rush,spell,Continuous,,,,,
84824601,Botanical Girl,effect,Plant,3,,1300,1100,WATER
20546916,Botanical Lion,effect,Plant,4,,1600,2000,EARTH
81386177,Bottom Dweller,normal,Fish,5,,1650,1700,WATER
76532077,Bottomless Shifting Sand,trap,Continuous,,,,,
29401950,Bottomless Trap Hole,trap,Normal,,,,,
9540040,Boulder Tortoise,normal,Aqua,6,,1450,2200,WATER
53610653,Bound Wand,spell,Equip,,,,,
32296881,Bountiful Artemis,effect,Fairy,4,,1600,1700,LIGHT
48582558,Bounzer Guard,trap,Normal,,,,,
52090844,Bowganian,effect,Machine,3,,1300,1000,DARK
55351724,Bownty,spell,Quick-Play,,,,,
81587028,Box of Friends,effect,Machine,1,,0,0,LIGHT
61156777,BOXer,effect,Warrior,4,,1800,1000,EARTH
45025640,Boycotton,effect,Plant,4,,1000,2500,EARTH
16507828,Bracchio-raidus,fusion,Dinosaur,6,,2200,2000,WATER
87910978,Brain Control,spell,Normal,,,,,
81919143,Brain Crusher,effect,Insect,7,,2400,1500,DARK
17313545,Brain Golem,effect,Fiend,6,,2500,1800,DARK
39531794,Brain Hazard,trap,Continuous,,,,,
40267580,Brain Jacker,effect,Fiend,2,,200,900,DARK
85668449,Brain Research Lab,spell,Field,,,,,
59258334,Brainwashing Beam,trap,Continuous,,,,,
30548775,Branch!,spell,Continuous,,,,,
6763530,Branded Banishment,trap,Normal,,,,,
32756828,Branded Beast,trap,Continuous,,,,,
60442460,Branded Befallen,trap,Continuous,,,,,
62022479,Branded Bond,spell,Normal,,,,,
34536828,Branded Disciple,spell,Continuous,,,,,
1041278,Branded Expulsion,trap,Normal,,,,,
44362883,Branded Fusion,spell,Normal,,,,,
14220547,Branded in Central Dogmatika,spell,Continuous,,,,,
29948294,Branded in High Spirits,spell,Quick-Play,,,,,
82738008,Branded in Red,spell,Quick-Play,,,,,
34995106,Branded in White,spell,Normal,,,,,
10065487,Branded Loss,spell,Normal,,,,,
18973184,Branded Lost,spell,Continuous,,,,,
36637374,Branded Opening,spell,Quick-Play,,,,,
34090915,Branded Regained,spell,Continuous,,,,,
17751597,Branded Retribution,trap,Counter,,,,,
81767888,Branded Sword,trap,Normal,,,,,
74277583,Brave Scizzar,normal,Machine,4,,1300,1000,DARK
88305705,Brave-Eyes Pendulum Dragon,fusion,Dragon,8,,3000,2000,DARK
78161361,Bravedrive,effect,Cyberse,4,,1500,1000,FIRE
66740005,"Bravo, Fighter Fur Hire",effect,Reptile,4,,1900,200,FIRE
9852718,Break Away,trap,Normal,,,,,
56526564,Break Off Trap Hole,trap,Normal,,,,,
4008212,Break the Destiny,trap,Normal,,,,,
63851864,Break! Draw!,spell,Equip,,,,,
22923081,Breaker the Dark Magical Warrior,effect,Spellcaster,6,,1600,1000,DARK
71413901,Breaker the Magical Warrior,effect,Spellcaster,4,,1600,1000,DARK
69217334,Breaking of the World,spell,Field,,,,,
78474168,Breakthrough Skill,trap,Normal,,,,,
96218085,Breakthrough!,trap,Normal,,,,,
44221928,Breath of Acclamation,spell,Ritual,,,,,
20101223,Breath of Light,spell,Normal,,,,,
64018647,Breath of Resurrection,trap,Normal,,,,,
58882608,Breath of the Tistina,spell,Continuous,,,,,
52840598,Bri Synchron,effect,Machine,4,,1500,1100,EARTH
24707869,Bright Future,trap,Normal,,,,,
16719802,Bright Star Dragon,effect,Dragon,4,,1900,1000,LIGHT
19271881,"Brightest, Blazing, Branded King",trap,Normal,,,,,
34848821,Brigrand the Glory Dragon,fusion,Beast,8,,2500,2000,DARK
7394770,Brilliant Fusion,spell,Continuous,,,,,
61011438,Brilliant Rose,effect,Rock,2,,500,500,LIGHT
3105404,Brilliant Spark,trap,Normal,,,,,
2102065,Brinegir,effect,Sea Serpent,7,,1000,2600,WATER
50321796,"Brionac, Dragon of the Ice Barrier",synchro,Sea Serpent,6,,2300,1400,WATER
65892310,"Brionac, the Dragon of Icy Malevolence",synchro,Sea Serpent,6,,2300,1400,WATER
27217742,Brohunder,effect,Thunder,4,,900,400,LIGHT
41587307,Broken Bamboo Sword,spell,Equip,,,,,
60930169,Broken Blocker,trap,Normal,,,,,
88086137,Broken Line,trap,Counter,,,,,
57985393,Broomy,effect,Spellcaster,2,,700,700,LIGHT
6353603,Brotherhood of the Fire Fist - Bear,effect,Beast-Warrior,4,,1600,1200,FIRE
